value,count
داره,2890
هست,2470
نداره,2189
میشه,2154
میکنه,2098
کنید,1906
نیست,1884
عالیه,1843
سلام,1806
است,1603
بود,1488
باشه,1283
و,1255
خوبه,1126
کرد,1082
خریدم,1082
کنه,954
میده,864
شده,840
کردم,837
هستش,797
شد,781
میکنم,775
باشید,718
بهتره,695
کنم,680
عالی,679
نکنید,661
دارم,621
بشه,586
1,582
دوستان,546
کالا,504
کرده,504
نمیشه,502
راضیم,492
بخرید,483
گوشی,466
خوبیه,444
نمیکنه,441
هستم,424
گرفتم,416
ممنون,401
بگم,388
تره,382
5,380
داشت,371
دارن,371
بخرم,357
دارد,351
میاد,343
تشکر,331
2,328
کنن,314
4,314
هستن,308
داشتم,308
3,303
کنین,293
بده,281
نه,279
باشد,266
شه,250
میکنن,249
دیگه,235
میگم,233
هستند,229
ام,227
میاره,227
ندیدم,224
بدید,224
عزیز,220
ها,218
کن,218
میشد,217
شدم,217
نکردم,215
میگیره,211
بوده,211
نیس,208
6,206
خوب,206
سامسونگ,203
میزنه,202
بگیرید,198
بودم,196
میدم,192
کنی,189
قیمت,185
بالا,183
ضعیفه,179
ندارد,176
علی,174
باشم,174
داد,172
ندارم,171
رو,169
خرید,164
نبود,161
کردن,160
ندارن,160
کند,160
میره,158
شود,157
اینه,155
میداره,153
لطفا,153
العادس,152
نداشت,152
گرفت,149
باشین,149
نکرده,149
من,149
بیاد,149
بگیرم,146
خریدمش,146
0,146
میخوره,146
گوشیه,145
کنند,143
میکرد,143
نمیشید,142
نمیاد,141
نشد,141
نشده,137
میشن,135
7,135
دارند,134
اومده,133
ببینید,133
ازش,132
کنیم,131
رسید,130
بدم,129
کمه,128
میکند,127
بودن,127
ارزه,127
نمیکنم,127
بهترینه,124
بخرین,124
مرسی,124
دوربین,123
بدین,123
میباشد,121
کیفیت,120
میشود,119
مناسبه,119
دیجی,119
اومد,119
ای,118
ببرید,118
العادست,116
بالاتره,115
بالاست,115
نکنین,113
تر,112
نباشید,112
نباشه,112
دادم,112
میرسه,111
میخرم,111
نشه,111
این,111
نظیره,109
باشن,107
زیباست,106
چیه,106
میگن,105
العاده,105
نداشتم,105
نمیخوره,104
8,104
زده,104
سونی,103
نمیاره,100
میشید,99
نمیرسه,99
نیستم,98
دسته,98
یاعلی,97
قیمتش,97
محشره,96
میکنید,96
ست,96
بگیره,96
همین,95
دیدم,94
نمیده,94
میدن,92
بیارید,92
زیبا,91
داده,89
نمایش,89
باتری,86
پایین,86
مناسب,86
بخرمش,85
بخرن,85
قوی,85
بگیرین,85
بدن,85
میشم,85
ایه,85
نمیدونم,84
زیاده,82
اپل,82
باسلام,82
نداشته,81
دست,81
باتشکر,81
دارمش,80
داشته,80
نکرد,79
چرا,79
بیاره,79
دارید,79
شما,79
بزنید,79
ضعیف,78
بزنه,77
چی,77
بخره,77
میکنند,77
میمونه,76
بخریم,76
دیجیکالا,76
که,76
مهمه,72
هم,72
همه,72
گفتم,71
افزار,71
میخرمش,71
اس,70
پایینه,70
هاست,70
بشید,70
بیشتره,70
قبوله,70
بهتر,69
میکردم,69
بخوره,68
برسه,67
شدن,67
10,66
میکشه,66
ندید,66
هس,66
نیستن,66
حق,65
برید,65
نمیکنید,65
س,64
باشیم,64
واقعا,64
میبره,63
ممنونم,63
افتاد,63
اند,62
بیشتر,61
خریدش,61
نکنه,61
شارژ,61
نخرید,60
زیاد,60
بزارید,60
2016,59
گیگ,58
برد,58
باشند,58
سریع,58
نظر,57
بازار,57
انگشت,57
زدم,56
همینه,56
بخشه,55
گرونه,55
داریم,54
نیومده,54
دادن,54
راحته,54
یا,54
رسیدم,53
نداشتن,53
سامسونگه,53
هستیم,53
نیومد,52
ساخت,52
خورد,52
کنندس,52
هستید,52
گرفته,52
میندازه,52
کمتره,51
کم,51
آورد,51
دهد,50
صفحه,50
جی,49
روز,49
باهاش,49
نمیزنه,47
دهید,47
جون,47
نمیشین,46
میکنین,46
بکنه,46
انتخابه,46
ندارند,46
مینویسم,46
منتظرم,46
ولی,46
نوشتم,46
کردید,45
خوندید,45
میگیرن,45
بزرگه,45
بازی,45
میداد,45
بره,44
طبیعیه,44
رم,44
اندروید,44
بگیرن,44
میشین,44
بدی,44
خودش,44
سخته,44
نکردن,44
باطری,44
سرتره,43
افتاده,43
همگی,43
نره,43
ایران,43
هواوی,43
سلفی,42
لایک,42
ضعف,42
اورد,42
دنیا,41
کنندست,41
میدهد,41
کننده,41
میگیرم,41
استفاده,41
میکنی,41
سی,41
درود,40
انگیز,40
بالاس,40
باشی,40
فقط,40
ساعت,40
شماست,39
جان,39
بیرون,39
آیفون,39
رفته,39
بازاره,39
نبوده,39
نخورید,39
طراحی,39
خیر,39
گذاشت,39
لایکو,38
9,38
سپاس,38
افزاری,38
رفت,38
درسته,38
نکن,38
بگه,37
دید,37
زد,37
قشنگه,37
جالبه,37
حافظه,37
دوربینش,36
کیفیته,36
گفت,36
کردی,36
منتظریم,36
قدرتمند,36
متوسط,36
رسیده,35
اما,35
خوره,34
دنیاست,34
بخریدش,34
بیار,34
نظیر,34
از,33
نظرم,33
نبودن,33
بکنید,33
ویژه,33
الجی,33
خودم,33
لحاظ,33
کافیه,33
جدید,33
موجوده,33
دی,33
قویه,32
نخریدم,32
میخریدم,32
سنگین,32
متشکرم,32
گذاشته,32
ایفون,31
عزیزان,31
بشن,31
بگیری,31
راحت,31
میارزه,31
امکانات,31
اصلا,31
چطوره,31
داشتن,31
ندین,31
معمولی,30
خاص,30
کاربردیه,30
میخوام,30
بکنم,29
بیارین,29
گارانتی,29
عادیه,29
پشیمونم,29
باتریش,29
دیگس,29
نکنن,29
ده,29
تمام,29
edge,29
ندارید,29
معمولیه,28
بخونید,28
گیره,28
درصد,28
میبرم,28
خوشگله,28
موندم,28
خدا,28
رده,28
گرم,28
روش,28
کاربری,28
شیکه,28
غیره,27
بزاره,27
عالین,27
شیک,27
گرامی,27
حله,27
کارت,27
تمومه,27
روونه,27
براش,27
گفتن,27
هاش,27
میفته,27
بذارید,27
هنگ,26
هوآوی,26
اول,26
s7,26
خیلی,26
دارین,26
کجا,26
نیاد,26
سبک,26
بندازید,26
شب,26
ه,26
داری,26
بعد,25
باش,25
هیچ,25
دستیه,25
سریعه,25
نشدم,25
نمیگیره,25
بودنش,25
ببرین,25
نیستند,25
حتما,25
بنویسم,25
سبکه,25
شوند,24
plus,24
6s,24
بدرود,24
بخر,24
نمیکنن,24
نمیشود,24
کردین,24
میزنن,24
موبایل,24
لگ,24
ثانیه,24
اونه,24
منه,24
قبول,24
الان,24
قوت,24
قویتره,24
بگید,24
بگیریم,24
نذاشته,23
اخه,23
کنار,23
تاپ,23
نداده,23
دستگاه,23
دیگر,23
آخه,23
یک,23
خوبی,23
نگفته,23
البته,23
مناسبیه,23
برام,23
بالاتر,23
مشکی,23
سوخت,23
چیزی,23
نگیرید,22
otg,22
20,22
نکنم,22
شاهکاره,22
بودند,22
نشید,22
بردم,22
اندازه,22
خریده,22
برند,22
به,22
گرفتن,22
کردند,22
در,22
نقصه,22
را,22
شوید,22
بگذریم,22
جلو,22
کمتر,21
ضعیفتره,21
میزنم,21
آمد,21
هنوز,21
رسه,21
نمایید,21
یاحق,21
عاشقشم,21
خوبن,21
میخوری,21
حالا,21
خودتون,21
میزارم,21
شکست,21
نمیزاره,21
بدیم,21
بد,21
بمونه,21
براتون,21
میکردن,20
دقیقه,20
راضیه,20
معایب,20
4G,20
مشکلی,20
دستم,20
میکنیم,20
اصلی,20
جهان,20
نوشته,20
عزیزم,20
بزرگ,20
بگیر,20
بزارم,20
کردیم,20
اون,20
گلم,20
نقص,20
سال,20
تو,20
احترام,20
عامل,20
های,20
بخیر,20
آورده,20
بندازین,19
میدید,19
خالیه,19
مونده,19
‌,19
نمیذاره,19
آن,19
ارزونتره,19
همینطور,19
افته,19
قبل,19
میبرید,19
بگذارید,19
هیچی,19
خاصه,19
دوم,19
اینجوریه,19
کامل,19
سرعت,19
میدی,19
سیم,19
جانبی,19
شید,19
اید,19
روان,19
بدنه,19
رقبا,19
معرکس,19
میوفته,19
می‌کنه,19
بزارین,19
نمیکرد,18
کلام,18
هستین,18
موند,18
میبود,18
با,18
فیلم,18
بینظیره,18
بشم,18
صورتی,18
نداریم,18
گذاشتم,18
اوردم,18
میشی,18
بخری,18
گزینس,18
16,18
همیشه,18
نمیشد,18
کامله,18
آید,18
حالی,18
صدا,18
خوندین,18
اینچ,18
بس,18
گوشیم,18
متفاوته,18
قیمته,18
فروختم,18
نرید,18
بهترین,17
یکیه,17
گذاشتید,17
ان,17
دستمه,17
خریدن,17
هایی,17
خدانگهدار,17
کل,17
4k,17
خودتونه,17
نده,17
کاربردی,17
نبودم,17
میگرفتم,17
میدونم,17
آب,17
ببره,17
گرافیک,17
فراوان,17
نمیمونه,17
عجیبه,17
ساده,17
تقریبا,17
نمیکنین,17
s6,17
پلاس,17
میخرن,17
ادب,17
بزنم,17
باکیفیت,17
اش,17
هوشمند,16
دو,16
بفرمایید,16
دیگست,16
عکس,16
ببینم,16
گذشت,16
قبلی,16
HTC,16
افتضاحه,16
بهش,16
میدونه,16
مدد,16
گلد,16
اینترنت,16
تا,16
ایسوس,16
سوال,16
نکردید,16
بگن,16
ذوقم,16
بزنن,16
محصول,16
یانه,16
آوردم,16
سره,16
نمیدن,16
طلایی,16
نکته,16
مگاپیکسل,16
پردازنده,16
کشید,16
عقب,16
سنگینه,16
بذارم,16
نداد,16
فعلا,15
خوردم,15
خوبتون,15
میخواد,15
کار,15
پایینتره,15
A,15
زیباس,15
مونه,15
گوگل,15
زدن,15
اشتباهه,15
برنامه,15
خودشه,15
htc,15
ببینه,15
شدند,15
نمیره,15
بودنشه,15
میدونید,15
خوندم,15
مزایا,15
قدرت,15
میرزه,15
اندروید6,15
مشکل,15
نمیبینم,15
نیستش,14
متوسطه,14
بشین,14
داخلی,14
گیرد,14
میومد,14
بزار,14
زشته,14
نزده,14
5x,14
پردازش,14
میگه,14
یو,14
بدونید,14
نمیگم,14
لنوو,14
ببینین,14
گردد,14
فلزی,14
دلیل,14
ببینی,14
موزیک,14
میشکنه,14
نور,14
نمیشی,14
بهترن,14
گیری,14
نمیگه,14
تکراری,14
نمیشن,14
بزن,14
عالیست,14
12,14
نداری,14
میذاره,14
مطلب,14
نباشین,14
بزنی,14
دهند,14
میرسد,13
اج,13
ببرن,13
4g,13
نکنیم,13
اینجا,13
گذاشتن,13
بخونن,13
پس,13
گذشته,13
برتره,13
نمیشم,13
ماه,13
باطریش,13
دار,13
چند,13
خب,13
میخرید,13
باحاله,13
روشن,13
نگو,13
امروز,13
بندی,13
نمیرزه,13
موجود,13
گلس,13
میشوید,13
کیفیتش,13
بخرند,13
تاچ,13
کجاست,13
سپاسگزارم,13
برده,13
میبینم,13
دونست,13
رقیبه,13
چین,13
g5,13
13,13
پشت,13
گم,13
میدونن,13
نمیرسن,13
برمیاد,13
می‌کنم,13
دنیاس,13
حاضر,13
تعویض,13
آوردن,13
نمیدم,13
نمیکند,13
نخوردم,12
روشنه,12
معلومه,12
S7,12
بگیرمش,12
بیاری,12
اندرویدی,12
بکشید,12
میزاره,12
خرم,12
نشم,12
میشوند,12
میارن,12
V10,12
میذارم,12
بماند,12
بنده,12
سونیه,12
امکاناتش,12
داغ,12
چینیه,12
نمود,12
اندرویده,12
خدایی,12
شم,12
نکنند,12
نمیکردم,12
بدهند,12
مشخصه,12
گرفتمش,12
ببینیم,12
