positivePoints,negativePoints,commentText,like,dislike,"کيفيت و شفافيت عمومي تصوير","امکانات و قابليت ها","سهولت در کاربري","ارزش در برابر قيمت"
,,"یک ماهه همه جوره استفاده کردم از نظر سرعت و کیفیت با سامسونگی که خونه دارم برابره،اگر دنبال اینترنت و تصاویر آنچنانی نیستید بهترین گزینه همینه",1,0,4,4,5,5
عاليه,طراحي,"من پارسال خریدم خیلی راضی هستم عالیه",1,1,4,4,4,5
,,"این تلویزیونا رو بیشتر gamer ها میخرن واسه game بین عموم مثل مارک های دیگه زیاد طرفدار نداره",1,0,2,3,4,5
"قيمت
صفحه نمايش
طراحي زيباي بدنه","داشتن تنها يک پورت USB
صداي کم","در شبکه های تلویزیونی که HD نباشد کیفیت کمی داغرد اما در فیلم ها و شبکه های HD کیفیت بسیار عالی ای دارد
حتما بخیر.. شکی نیست",4,2,4,5,5,5
"کيفيت تصوير
کيفيت آنتن دهي
شيک و اسمارت","صداش متوسطه","سلام.اول بگم من سامسونگ اسمارت40اینچ هم دارم.مدل اسمارت.18ماه ضمانت داشت.ماه 20تصویر بالا سیاه شد.بعدش کدر شد نصف صفحش.نه ال جی نه سامسونگ مارک قدیمشون نیستن.دوملیون تومن خریدمش.ولی حیف پول واسه سامسونگ دادن.کلا ایکس ویژن خوبه",10,4,5,4,4,5
"واقعا محصول خوبي هست","من نقطه ضعفي نديدم","دوستان من این ال ای دی رو خریدم چند ماهه از اوایل برج 4.و واقعا راضی هستم هم کیفیت تصویرش هم رابط هایی که میشه بهش وصل کرد و هم گیرنده اش خیلی عالیه.",7,1,3,3,3,3
"در برابر قيمت همه چي","در برابر قيمت هيچي","تصویر عالی صدا خوب",6,0,5,4,3,5
"کيفيـــت عــــالي ظــــاهري شيــک",,"نسبت به قیمتش واقعا عالیه هم کیفیت هم طراحی در ظاهر. بعضی از کابران از ضعیف بودن صدا ایراد گرفتن که به نظر من صدای مناسبی داره و مشکلی هم نداره چون نباید با برندهای قوی تر همانند سامسونگ و ال جی و غیره.... مقایسه کنیم.میشه گفت برند داخلی با بهترین کیفیت.خدمات پس از فروش خوبی هم داره.در کل از دیجی کالا ممنونیم که با کمترین هزینه بهترین امکانات رو در اختیار مشتری میزاره.",11,4,5,5,5,5
,,"کیفـــت تصویرش خوبه ولی صداش یکم ضعیفه ولی بازم عااالیه",5,0,3,3,3,3
,,"تلویزیون خوبیه. کیفیت و شفافیت تصویر خوبی داره. تنها مشکلی که به نظر من داره کیفیت صداشه که فوق العاده پایینه.",5,1,4,4,5,3
,,"در این رنج قیمت واقعا عالیه
برند داخلی باکیفیت
خدمات پس از فروش خوبی داره.",3,0,5,4,4,5
"تصوير خوب طراحي خوب","صداي ضعيف","خوبه ولی صدای ضعیفی داره تصویر مناسب ساخت خوب",3,0,4,2,4,4
"قيمت مناسب","نصب و راه اندازي ضعيف، خدمات","با اطلاع از این که محصول مونتاژ است و در نهایت سهم کمی از تولید داخلی دارد اما ترجیح دادیم کالای ایرانی بخریم که در عوض خدمات ایرانی تقریبا ما را از این امر پشیمان کرد. اگر چه محصول کیفیت مناسبی دارد ولی با چالشی که نصاب شرکت برای ما در نصب و راه اندازی ایجاد کرد مجبور به شکایت به شرکت اصلی شدیم و در نهایت با ماجرایی که طی شد تلویزیون تحویل ما گردید. اگر صرف عدم خدشه در گارانتی نباشد و تاکید فروشنده هیچ نیازی به نصاب نیست. راحت تر بگویم نصاب یعنی کارتن را باز کردن، پریز را به برق زدن و اطمینان از اینکه کالای شما سالم است. بقیه کارها را خودتان بکنید.
البته چون کالای ما سالم بود نمی دانیم در غیر این صورت چه می شد.",11,2,3,2,4,2
,,"مناسب برای کسانی که سه بعدی و هوشمندی تلویزیون براشون اهمیت نداره
کیفیتش خوبه یعنی من راضیم و قیمتش هم خیلی مناسبه
خرید شو پیشنهاد میکنم",3,1,4,4,4,5
"سهولت در کاربري و تنظيمات
تصوير خوب و با کيفيت
گارانتي معتبر و خدمات پس از فروش خوب
صداي با کيفيت و فراگير.","طراحي ظاهري ساده وکمي ناشيانه بخصوص در پايه هاي تلويزيون.
نمايش ساده و ضعيف منوي و در کل تنظيمات. گرافيک ضعيف
طراحي نامناسب مربوط به نوع کنترل و تنظيمات از روي تلويزون.","مواردی که در قسمت نقاط ضعف آوردم زیاد مهم نیستن و بیشتر سلیقه ایه ولی در مقایسه با تلویزیونای کره ای این ضعفارو داره. البته در قسمت نقاط ضعف اون چیزی که بیشتر به چشمم اومد مربوط به طراحی نامناسب نوع کنترل و تنظیمات از روی تلویزون بود که زیاد جالب نبود. میتونستن با چندتا دکمه ساده این کارو بکنن ولی یه کاری کردن که من واقعا تعجب کردم و زیاد خوشم نیومد... در کل راضیم .... مهمتر از این یه محصول ایرانی خوب گرفتم . ان شالله که رفته رفته همین ایرادای کوچیکشم رفع بشه.",13,2,4,3,4,4
"پنل IPS
کيفيت فوق العاده تصوير با زاويه ديد عالي به خاطر پنل IPS
داشتن جديدترين نسل گيرنده ديجيتال DVB-T2
امکان ضبط برنامه هاي تلويزيوني
ماشين زمان","طراحي غيرارکونومويک کنترل تلويزيون","سلام
این تلویزیون دو خصوصیت جذاب داره یکی داشتن جدیدترین نسل گیرنده دیجیتال DVB-T2 که استاندارد پیشنهادی صدا و سیماست. ممکنه در آینده نسل های قدیمی دیجیتال منسوخ و به سرنوشت آنالوگ دجار بشن و مجبور بشن کنار تلویزیون مدرنشون یه دستگاه گیرنده دیجیتال هم بذارن!
دومین خصوصیت داشتن پنل IPS هست که تصویر فوق العاده ای داره و ضمنا نسبت به سایر پنل ها در برابر ضربه مقاوم تره. البته نه در برابر اجسام نوک تیز. از نظر قیمت هم قیمت مناسبی داره و گارانتی معتبر مادیران رو داره.
از نظر اندازه سایز 43 برای فضاهای متوسط مناسب هست. تنها عیب این تلویزیون به نظر من اینه که دکمه های کنترلش خیلی خوش دست نیست. اگه بتونم کنترلشو عوض میکنم.
الان مدل جدید این تلویزیون یعنی XL545 اومده که اسمارت هست و تقریبا همین قیمته.مشخصاتش رو نتونستم پیدا کنم ولی اگه اون هم با پنل IPS باشه فوق العادست.",9,2,5,5,4,5
"وضوح تصوير باور نکردني
قيمت مناسب نصبت به ديگر برندها
قابل استفاده به صورت پايه دار و ديواري
قطعات کره اي و ساخت با کيفيت ايراني",,"من تلویزیون های ساخت شرکت های معروف خارجی رو هم از نزدیک دیدم و داشتم
واقعا هیچ چیز از اونا کم نداره تازه قیمت بسیار مناسب تری داره
از اون مهم تر تولید کشورمون هست اما قطعات اصلی (مثل پنل ال ای دی صفحه نمایش)کره است
پس برای حمایت از کالای با کیفیت ایرانی هم که شده خریدم اش از خریدم خیلی راضی ام",9,3,5,3,4,4
[],[],"عالی بود حرف نداره خریدم رازیم",13,1,5,5,5,5
,,"جزو پر فروشا زدینش اما ندارید....
موجودشه
ممنون
جدا کیفیتاشون از بقیه هیچی کم نداره
**ما تو فروشگاه با سامسونگ کنار هم دیدیم.
ارزون ترین برند با کیفیته",12,3,5,5,5,5
,,"به نظر می آید که این تلویزیون dlna ندارد چون هیچ راه ارتباط با شبکه ای ندارد نه wifi و نه LAN",4,4,4,1,3,3
,,"لطفا شگفت انگیز کنید",11,4,3,3,3,3
"کيفيـــت عــــالي ظــــاهري شيــک",,"نسبت به قیمتش واقعا عالیه هم کیفیت هم طراحی در ظاهر. بعضی از کابران از ضعیف بودن صدا ایراد گرفتن که به نظر من صدای مناسبی داره و مشکلی هم نداره چون نباید با برندهای قوی تر همانند سامسونگ و ال جی و غیره.... مقایسه کنیم.میشه گفت برند داخلی با بهترین کیفیت.خدمات پس از فروش خوبی هم داره.در کل از دیجی کالا ممنونیم که با کمترین هزینه بهترین امکانات رو در اختیار مشتری میزاره.",11,4,5,5,5,5
