positive_points,negative_points,text,like,dislike,"ارزش خرید به نسبت قیمت",نوآوری,"کیفیت ساخت","امکانات و قابلیت ها","سهولت استفاده","طراحی و ظاهر"
"پردازنده قدرتمند ابته بايد ديد که اين پردازنده ها در کنار هم باعث ايجاد دماي بالا نشه.
بدنه فلزي
6 اينچ","تک سيم کارت
حافظه 4 گيگ!!!
عدم پشتيباني از کارت حافظه جانبي
صفحه نمايش LCD
تراکم پيکسلي","دوستان من تازه توی لیست دیجی کالا این گوشی رو دیدم با این حال اگر هنوز این گوشی عرضه نهایی نشده نمیشه در مورد مشخصات فنی اون قضاوت کرد شاید تا زمان عرضه نهایی بهبود هایی در بخش حافظه داخلی و ... داده بشه
اگر هم عرضه شده به نظرم فقط به پردازنده نگاه نکنید همه مشخصات رو در نظر بگیرید. اگر دیدین یک گوشی ناگهان با ده هسته وارد بازار شد سریع شگفت زده نشین.
مثالش هم این هست که ال جی فروردین ماه تلویزیون 5k عرضه کرد در حالی که اونموقع تلویزیون 4k سونی هم تازه میخواست عرضه شه اما 4k های سونی شنیدم بسیار بهتر از ال جی هست.
گاهی اوقات این قطعات فوق بالا بیشتر جنبه تبلیغات دارن.
بهتره اگر فقط قصدتون گیم نیست عجله در خرید این گوشی نکنید
ممنون",0,0,2,3,4,3,4,4
"پردازنده ي 10 هسته اي
چهار بلند گوي قدرتمند
نصب بودن آسفالت 8 روي خود سيستم
دوربين با کيفيت 21 مگاپيکسلي","ميتوانست حسگر هاي بيشتري داشته باشد","این گوشی قدرتمند ترین پردازنده ی حال حاضر رو داره شرکت ایسر تمام تمرکزش رو روی بازی گذاشته و آسفالت 8 هم روی خود گوشی نصبه به نظر من دیگه گوشی بهتر از این برا بازی وجود نداره",3,0,5,4,3,3,5,5
"[""سخت افزار""]","[""حافظه کم و غيره قابل تعويض""]","این 4 گیگ حافظشه بعد کارت حافظه و باتری قابله تعویض صاپورت نمیکنه،خراب کردن مشخصاتشو",0,3,0,3,3,3,3,3
[],[],"این کی میاد پشخصاتش آدمو دیوونه میکنه دیجی به محض اومدنش بدون گارانتی شو موجود کن ممنون",2,2,3,5,3,3,3,5
"[""سخت افزار بي همتا""]","[""خيلي چيزاش ميتونست بهتر باشه""]","فقط و فقط بازی!!!",3,2,2,5,4,3,5,4
,,"حافظه داخلی نداره اصن چهار چیه اخه تازه رم هم نمیخوره",2,8,0,0,0,0,5,0
,,"وای خدا این چه غولیه",3,3,5,5,5,5,3,5
"سخت افزار بسيار قوي..دوربين خوب..بدنه فلزي",,"متاسفانه بااون دوست عزیز که گفتن با گوشی 4 هسته ای هم میشه همه بازیا رو اجرا کرد اصلا موافق نیستم..شما یا اصلا اهل بازی نیستی یا اینکه تا حالا گوشی بیشتر از 4 هسته نداشتی..البته ناگفته نماند افزایش تعداد هسته به تنهایی سرعت گوشی رو بالا نمیبره.چیزی که برای بالا بردن سرعت گوشی مخصوصا موقع اجرای بازی های سنگین لازم دارین سرعت پردازنده یا همون cpu و بعدش یه رم با حافظه قویه..افزایش تعداد هسته قطعا توی سرعت گوشی موثره ولی بیشتر زمانی که چند برنامه رو همزمان باز کنید",5,4,4,5,5,3,4,4
"پردازنده Mediatek MT6797 Chipset - از نوع 64 بيت
4 گيگ رم و 21 مگاپيکسل دوربين","کيفيت نه چندان بالاي صفحه نمايش
قيمت بالا","این گوشی از نظر فنی و قدرت جز قوی ترین های بازار هست و پردازنده مدیاتک 6797 هنوز وارد بازار نشده و به زودی در چند گوشی مانند الفون پی 9000 استفاده خواهد شد . ولی نکته منفی این گوشی اول قیمت بالای گوشی بخاطر استفاده از این پردازنده هست درحالی که اکثر بازی های اندروید با 3 گیگ رم و پردازنده های ضعیف تر هم بدون مشکل و لگ اجرا میشوند. دوم با توجه به 6 اینچ که ایده ال ترین سایز برای فبلت می باشد تراکم پیکسلی کمی در صفحه نمایش این محصول شاهدیم . نکته منفی سوم عدم قبلیت نصب کارت حافظه و چهارم تک سیم بودن گوشی می باشد که در شرابط کنونی اکثر محصولات دو سیم کارت می باشند.
در نهایت در صورتی که قابلیت های تلفن و همچنین قیمت زیاد مهم نباشد گزینه خوبی برایی گیم است ولی با مقایسه گوشی های دیگر بازار و قیمت انها خرید این گوشی صرفه اقتصادی ندارد.",3,3,1,4,3,4,4,4
"قدرت بالا","قيمت بالا","سلام خدمت شما
به نظر من یه موبایل 4 هسته ای هم میتونه همه ی بازی های اندروید را اجرا کنه
و لازم نیست این قدر پول خرج کرد البته موبایلش ظاهر وداخل عالی داره و فکر نکنم حالا حالا ها قدیمی شه
صرف نظر از قدرتش به نظرم قیمتشم مثل قدرتش بالاست ولی واسه گیمر های به روز که پول اضافی دارن بسیار عالی و شکیله .",2,6,4,5,5,4,5,5
,,"در حال حاضر تو بنچ مارک و CPU،GPU رقیب نداره چون بنچمارکش عدد نجومی 71000 هست...!!
دوربینشم که محشره!
کم کم دارن شرکت ها ، موبایلاشونم مثل لپ تاپشون طراحی میکنن،
طراحی این گوشی شبیه لپ تاپ های Gaming Series هست",5,2,0,0,0,0,0,0
,,"شاهکاره کلا ایسر تو این چند سال ترکونده",3,3,0,0,0,0,0,0
,,"این گوشی در نمایشگاه ایفای امسال به عنوان گوشی مناسب برای بازی معرفی شد و بهترینه تا به الان تو دنیا. دارای پردازنده 10 هسته ایه. مشخصاتم که بالا کامل اشاره شده .",1,2,0,0,0,0,0,0
,,"حافظه داخلیش چقدر کمه
رم هم که نمیخوره",1,3,0,0,0,0,0,0
,,"این گوشی به نظر عالی میاد ازش خوشم اومده اما یه سوال دارم رزولیشن دوربین سلفیش چقدره؟",0,0,0,0,0,0,0,0
,,"دوستان ببخشید از شدت جوگیری ایسر و لنوو و قاطی کردم شرمنده",0,0,0,0,0,0,0,0
,,"لنووو :::: سامسونگ.اپل.دستا بالا پادشاه وارد میشود
خدایی غولههه سامسونگ داره رم شیش گیگ میزنه برا اسمارت فونا قطعا اپل هم باید یه تکون اساسی به خودش بده وگرنه سامسونگ و لنوو و ال جی بازار و قبضه میکنن
من دوس ندارم اپل از اعتبارش کم شه ولی خدایی این حرفی برا گفتن نداره تهدیدی اساسی برای سامسونگ و اپله",0,3,0,0,0,0,0,0
,,"%100 میتونه رقیب اصلی پرچمدارهای شرکت های سامسونگ و سونی باشه",0,2,5,5,5,5,5,5
,,"این گوشی رقیب جدی ای برای شرکت هایی مثل سامسونگ خواهد بود ، هر چیز انحصاری که بگید توی این گوشی هست ، از پردازنده ها بگیر تا سیستم پخش و لرزاننده ها و شمایل دوست داشتنی گیمر پسندش... بدون شک در صورت کسب نمره ی قابل قبول در بنچمارک ها و انتشار آمارها سامسونگ و دیگر غول های این صنعت وارد رقابتی بی سابقه خواهند شد",3,2,0,0,0,0,0,0
,,"از نصف لپتاپ های بازار قوی تره :|
چه خبره آخه سه تا پردازنده؟
اگه پول داشته باشم قطعا میخرم اصلا شک نمیکنم",3,2,0,0,0,0,0,0
,,"اگه پول دستم بیاد میحرم حتی اگه گرون و غیر معمول باشه این تقریبا یه گوشی مخصوص بازیه",1,1,0,0,0,0,0,0
